population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
10573,1,0.0273580174731243,0.0375058073019021,0.045076549118424,0.0496147252779715,0.0502110272886687,0.0462098863464813,0.0381136218825011,0.0276230958288752,0.0166135994260435,0.00600969338652435,-0.00431494860208259,-0.014572330672006,-0.0241501082681026,-0.0318042276531831,-0.0367562199795861,-0.0394830823520591,-0.0411352681168036,-0.0419773326176389,-0.0419853837413906,-0.0410638530353835,-0.0391888483864502,-0.0365288322599429,-0.0337576545173084,-0.031043777623891,-0.0281932321471443,-0.0244301403568352,-0.0195605328204174,-0.0141008356779271,-0.0101167534895763,-0.00812471239539514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1083,1,0,0,0,0,0,0,-0.128809111537977,-0.128809111537976,-0.128809111537976,-0.128809111537976,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-0.145770351364393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1067,1,0.0853013716504387,0.0171660208676538,-0.0667298014388162,-0.153591839234007,-0.198712698751084,-0.162197897348283,-0.0653389321418167,0.00657332651581033,-0.0207306029227938,-0.124424608062364,-0.184789861644372,-0.0924897592719445,0.130922712942497,0.325216447790046,0.326351285351638,0.13638962577677,-0.0825042156534836,-0.289415695507169,-0.450032008118509,-0.427101930825646,-0.186312657963378,0.189509403590961,0.369058626325243,0.269508603362243,-0.0299308372546871,-0.212420383348223,-0.198750206874276,-0.033270811541239,0.106615787819834,0.176559087499742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1033,1,0.0125436340728506,-0.0317566730950638,-0.0517027460055659,-0.0254845571230184,0.0310366854136368,0.0846886969398657,0.119602649659792,0.145691843225931,0.172680159863387,0.183790080741175,0.145940038996868,0.0507535124907781,-0.0598122415726916,-0.119515208875627,-0.0978206860141668,-0.0353227743181588,-0.00443702058151274,-0.0213483628426108,-0.07440633966712,-0.117009105317586,-0.137506198359625,-0.132538579984891,-0.0886700949593582,-0.00254170447481616,0.104343611521694,0.145973933240933,0.100846280735572,-0.00925270436080972,-0.0971764555141101,-0.141138331090651,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1030,1,0.032182937166545,0.0379778646729765,0.0400308861537733,0.037732516422798,0.0314462601474519,0.0221157535566716,0.010821432912679,-0.00145118399677457,-0.0138137404340126,-0.0253925101241723,-0.0352987319212987,-0.0426975346491334,-0.046962396034913,-0.0478935978602726,-0.0459530639076853,-0.0423982992735743,-0.0387826065317114,-0.0354411968037134,-0.0325987994102004,-0.0311543316336564,-0.0313325227947008,-0.0327786437548685,-0.0340737779602946,-0.0348631962724957,-0.0351625250632033,-0.0350342698192456,-0.03449405691235,-0.0336634443179884,-0.033028663938091,-0.0327112737481414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1026,1,-0.0306249962023264,-0.0294540357244273,-0.0245487580583363,-0.0154530588507615,-0.00260023438845547,0.0138917236180323,0.0336570237003624,0.0536667059265072,0.0668856101037676,0.0650607718148537,0.044845649671859,0.012170897972668,-0.0200232035685444,-0.0400581826152759,-0.0452708415955625,-0.0425501734751847,-0.0405856398782705,-0.0412044118397672,-0.0426730413680101,-0.0380577364963424,-0.0256250492330956,-0.00797161327364915,0.00451603660056676,0.00924126669415948,0.00718202886609198,0.00225013055209544,-0.00457647638886538,-0.0124974896541143,-0.0183117000327453,-0.021218805222059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1025,1,0.0400637592549815,0.0410925852235433,0.041501496719655,0.0413382674183991,0.0405028671890761,0.0386466404936918,0.0353317807326627,0.030369846913131,0.0240796185770797,0.0172326539539291,0.0106864113722702,0.00495805497526014,5.1951246892834e-05,-0.00434268708297481,-0.00846541533423828,-0.0122372315978501,-0.0153916170737931,-0.0178659552364202,-0.0197020306036899,-0.0210669812473627,-0.0220025916853874,-0.0225099775546482,-0.0225936014026731,-0.0222545788663426,-0.0214039236925432,-0.019685690868779,-0.01701089414194,-0.0137407030864196,-0.0113197959998059,-0.0101093424564995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1022,1,0.00154798083574104,0.00143655749829374,0.00131685451691688,0.00119594632360975,0.00107752735044553,0.000963433488120558,0.000855353788019819,0.000753455308920792,0.000652661472335225,0.000541176904099494,0.000404904270704165,0.000235949721509421,3.87770313565738e-05,-0.000171323983821026,-0.00037663195018478,-0.000566001203083033,-0.000737235813593529,-0.000890277534258743,-0.00102729231853615,-0.00115694398025745,-0.00128139847288189,-0.00139998190062673,-0.00150999868037527,-0.00161077491635186,-0.00170073749413291,-0.00177359395603194,-0.001827771187636,-0.00186441028280537,-0.00188807561700965,-0.00189990828410824,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020,1,-0.00567379879238139,-0.000490747851016771,0.00493142910101518,0.0089771779650043,0.0117811941322019,0.0148386986169022,0.0195074200512639,0.0255644480895985,0.03105187002331,0.0335665411965511,0.0318870733086918,0.0265990670104674,0.0193990340689441,0.0119801962267339,0.00557342475876155,0.00122046657611463,-0.000176943551267073,0.00156502684809467,0.00587234603274833,0.0104488870368904,0.0147206181190569,0.0177621928111531,0.0158722252407806,0.00812536893984994,-0.00321283045418408,-0.00908019039148034,-0.00721116523456367,0.00057121359802359,0.00697482043211739,0.0101766238491425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1012,1,-0.000623353046975694,-0.0201832665935973,-0.0314893830396272,-0.024285779390528,-0.00554799519988336,0.0107692187772281,0.0207423686491772,0.0337405643777435,0.0575434578025753,0.0826586924662669,0.085565825455725,0.0502214006057633,-0.0137221540269508,-0.0756415481471535,-0.10828156724506,-0.109054632142629,-0.0947406157021531,-0.0696377480016181,-0.0372137749015566,-0.0113396798440064,0.0045167913105324,0.0097953848425707,0.0022550858744852,-0.018664359313278,-0.0475101728638414,-0.0624712433501591,-0.058094792915429,-0.0389211845662443,-0.0231118703290694,-0.0152072132104397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
